2026-09-09 18:05:33,234 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm66.process_rows' (key='sap.sm66.process_rows') -- leaving UNKNOWN.
2026-09-09 18:05:33,235 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm66.running_processes' (key='sap.sm66.running_processes') -- leaving UNKNOWN.
2026-09-09 18:05:33,236 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.smq1.queues' (key='sap.smq1.queues') -- leaving UNKNOWN.
2026-09-09 18:05:33,236 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.smq2.queues' (key='sap.smq2.queues') -- leaving UNKNOWN.
2026-09-09 18:05:33,237 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sp01.spool_count' (key='sap.sp01.spool_count') -- leaving UNKNOWN.
2026-09-09 18:05:33,240 | INFO     | core.event_engine | Resolved event EVT-BC3E19A884: PRD/sap.st03.top_report_db_ms
2026-09-09 21:57:10,127 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 21:57:12,141 | WARNING  | core.orchestrator | [PRD] RFC collector: host 10.1.0.193:3300 not reachable (TimeoutError) -- network/Basis check, not a code issue
2026-09-09 21:57:12,143 | WARNING  | core.orchestrator | [PRD] RFC perf collector: host 10.1.0.193:3300 not reachable (TimeoutError) -- network/Basis check, not a code issue (retrying in 120s)
2026-09-09 21:57:12,145 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=UNKNOWN, metrics=0, errors=2
2026-09-09 22:08:09,713 | INFO     | core.orchestrator | No SSH access configured for SARLOHA QAS -- skipping Linux/OS-level metrics (SAP GUI evidence only).
