2026-09-09 15:10:28,131 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:12:50,365 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:12:50,371 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:12:50,424 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:12:50,486 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:14:33,314 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:14:33,319 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:14:33,368 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:14:33,391 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:22:26,207 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:22:26,208 | INFO     | dashboard.app | Live refresher is ON-DEMAND -- systems are read only when 'Read live' is clicked (/api/live/refresh). Set IBO_LIVE_AUTO_REFRESH=1 for the old timer-driven mode.
2026-09-09 15:22:26,276 | INFO     | dashboard.app | Scheduler: no run on startup.
